ID,Zip,BirthMonth,TotalSales,TotalSavings,TotalVisits,LastVisit,ReferralCode
546305,36305,,7822.4300,519.5800,37,2014-03-14 11:35:18.183000, 
546317,34209-9528,,3638.5200,190.4400,42,2014-03-08 12:18:39.373000,
546336,72712-8993,,18991.7200,1883.5500,216,2014-04-18 14:28:53.227000,Friend
546370,35209,,559.6800,99.1000,19,2017-07-25 14:26:51,Friend
546377,346383591,,25046.4500,1255.6600,161,2020-02-10 10:58:20.660000,
546408,36801,,12838.1700,360.0700,43,2016-02-13 11:59:18.297000,Catalog
546413,35150,,819.6800,-62.2900,7,2014-12-31 08:40:52, 
546449,35242,,3033.2540,218.0250,98,2016-04-08 12:30:16, 
546484,351242531,,88.8700,0.0000,7,2019-09-08 16:43:25, 
546522,35210,,507.8200,2.7000,16,2016-06-17 10:44:16,
546525,35186,,527.3710,8.0000,18,2019-04-23 11:06:29,Competitor Referral
546526,35051,,825.6400,23.0500,23,2019-11-17 16:45:47, 
546550,350856349,,1214.4200,5.0000,16,2019-12-29 13:16:57,
546568,35180-4772,,715.2800,43.0100,19,2017-12-02 11:01:33.943000, 
546599,360062813,,2052.7500,365.6700,13,2016-05-21 14:19:23, 
546616,35045,,824.2300,34.8000,13,2016-09-15 15:28:29, 
546620,36106,,5598.7400,1272.5000,102,2010-04-09 15:41:36,Friend
546621,48346,,1183.9500,19.5300,33,2014-07-22 09:35:33.463000,
546641,34613-4878,,959.1000,46.4000,14,2014-09-26 09:05:25.497000,
546649,38017-1929,,3488.9400,468.1100,81,2014-12-15 12:49:23.080000, 
546652,32327,,2703.6300,162.7000,12,2014-12-28 14:47:39.680000,Catalog
546687,352265027,,1466.3000,111.4500,21,2015-02-26 17:50:07.703000,
546701,35244,,10651.9560,630.5700,48,2017-12-26 11:48:49,Magazine
546703,35956,,3645.5800,308.9800,26,2020-02-29 11:39:29.553000,
546705,35051,,766.1700,53.9300,16,2016-07-09 12:47:56, 
546737,35133,,1039.8494,63.2100,21,2015-04-11 11:56:56, 
546742,35209,,3761.3680,381.9700,9,2015-04-16 18:00:29, 
